Domain,Phylum,Class,Order,Family,Genus,best_hit
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 230:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 231:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 232:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 233:Paenibacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 234:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 235:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 236:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 237:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,ASV 238:Enterobacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,ASV 239:Arthrobacter
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 240:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 241:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 242:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 243:Esherichica/Shigella
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ASV 244:Rhizobium
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 245:Massilia
