Id,q_amplicon,Phylum,Class,Order,Family,Genus,Species
1489,ASV 1489: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1490,ASV 1490: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1491,ASV 1491: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1492,ASV 1492: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1493,ASV 1493: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1494,ASV 1494: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1495,ASV 1495: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1496,ASV 1496: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1497,ASV 1497: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1498,ASV 1498: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1499,ASV 1499: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1500,ASV 1500: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1501,ASV 1501: Shinella,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella
1502,ASV 1502: Rhizobium_sp.,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,Rhizobium
1503,ASV 1503: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1504,ASV 1504: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1505,ASV 1505: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1506,ASV 1506: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1507,ASV 1507: Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,ANP-Rhizobium,ANP-Rhizobium
1508,ASV 1508: Rhizobiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae
1509,ASV 1509: Phyllobacterium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium,Phyllobacterium
1510,ASV 1510: Mesorhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium
1511,ASV 1511: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1512,ASV 1512: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1513,ASV 1513: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1514,ASV 1514: Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium
1515,ASV 1515: Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium
1516,ASV 1516: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1517,ASV 1517: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1518,ASV 1518: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1519,ASV 1519: Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium
1520,ASV 1520: Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium
1521,ASV 1521: Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium
1522,ASV 1522: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1523,ASV 1523: Hyphomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium
1524,ASV 1524: Rhizobiales,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales
1525,ASV 1525: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1526,ASV 1526: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1527,ASV 1527: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1528,ASV 1528: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1529,ASV 1529: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1530,ASV 1530: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1531,ASV 1531: Rubellimicrobium,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium
1532,ASV 1532: Pannonibacter_phragmitetus,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pannonibacter,Pannonibacter_phragmitetus
1533,ASV 1533: Stappia,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappia,Stappia
1534,ASV 1534: AB1,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,AB1,AB1
1535,ASV 1535: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1536,ASV 1536: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1537,ASV 1537: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1538,ASV 1538: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1539,ASV 1539: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1540,ASV 1540: Holosporaceae,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holosporaceae,Holosporaceae
1541,ASV 1541: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1542,ASV 1542: Caedibacter,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,Caedibacter,Caedibacter
1543,ASV 1543: ultured_Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,Rickettsiales,uncultured_Alphaproteobacteria
1544,ASV 1544: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1545,ASV 1545: Candidatus_Paracaedibacter,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter,Candidatus_Paracaedibacter
1546,ASV 1546: Candidatus_Paracaedibacter,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter,Candidatus_Paracaedibacter
1547,ASV 1547: Candidatus_Finniella,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Finniella,Candidatus_Finniella
1548,ASV 1548: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1549,ASV 1549: Dichotomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Dichotomicrobium,Dichotomicrobium
1550,ASV 1550: Rickettsiales,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,Rickettsiales,Rickettsiales
1551,ASV 1551: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1552,ASV 1552: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1553,ASV 1553: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1554,ASV 1554: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1555,ASV 1555: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1556,ASV 1556: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1557,ASV 1557: Dongia,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Dongia
1558,ASV 1558: Inquilinus,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus,Inquilinus
1559,ASV 1559: Skermanella,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,Skermanella
1560,ASV 1560: Elsterales,Proteobacteria,Alphaproteobacteria,Elsterales,Elsterales,Elsterales,Elsterales
1561,ASV 1561: Azospirillaceae,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae,Azospirillaceae
1562,ASV 1562: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1563,ASV 1563: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1564,ASV 1564: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1565,ASV 1565: P3OB-42,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,P3OB-42
1566,ASV 1566: P3OB-42,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,P3OB-42
1567,ASV 1567: Azospirillum,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum
1568,ASV 1568: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1569,ASV 1569: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1570,ASV 1570: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1571,ASV 1571: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1572,ASV 1572: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1573,ASV 1573: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1574,ASV 1574: Acidocella,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella
1575,ASV 1575: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1576,ASV 1576: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1577,ASV 1577: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1578,ASV 1578: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1579,ASV 1579: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1580,ASV 1580: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1581,ASV 1581: Endobacter,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Endobacter,Endobacter
1582,ASV 1582: Endobacter,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Endobacter,Endobacter
1583,ASV 1583: Gluconobacter,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter
1584,ASV 1584: Gluconacetobacter_liquefaciens,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter_liquefaciens
1585,ASV 1585: Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae
1586,ASV 1586: Paracaedibacteraceae,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Paracaedibacteraceae,Paracaedibacteraceae
1587,ASV 1587: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1588,ASV 1588: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1589,ASV 1589: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1590,ASV 1590: Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
1591,ASV 1591: KF-JG30-C25,Proteobacteria,Gammaproteobacteria,KF-JG30-C25,KF-JG30-C25,KF-JG30-C25,KF-JG30-C25
1592,ASV 1592: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1593,ASV 1593: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1594,ASV 1594: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1595,ASV 1595: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1596,ASV 1596: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1597,ASV 1597: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1598,ASV 1598: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1599,ASV 1599: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1600,ASV 1600: Steroidobacter,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Steroidobacter
1601,ASV 1601: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1602,ASV 1602: WD260,Proteobacteria,Gammaproteobacteria,WD260,WD260,WD260,WD260
1603,ASV 1603: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1604,ASV 1604: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1605,ASV 1605: JG36-TzT-191,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191
1606,ASV 1606: JG36-TzT-191,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191
1607,ASV 1607: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1608,ASV 1608: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1609,ASV 1609: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1610,ASV 1610: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1611,ASV 1611: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1612,ASV 1612: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1613,ASV 1613: Acidibacter,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Acidibacter,Acidibacter
1614,ASV 1614: R7C24,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24
1615,ASV 1615: R7C24,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24
1616,ASV 1616: R7C24,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24
1617,ASV 1617: R7C24,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24
1618,ASV 1618: R7C24,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24
1619,ASV 1619: Candidatus_Captivus,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Captivus,Candidatus_Captivus
1620,ASV 1620: Candidatus_Captivus,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Captivus,Candidatus_Captivus
1621,ASV 1621: Cardiobacterium,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium
1622,ASV 1622: Cardiobacterium,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium
1623,ASV 1623: Methylosarcina,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylosarcina,Methylosarcina
1624,ASV 1624: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1625,ASV 1625: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1626,ASV 1626: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1627,ASV 1627: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1628,ASV 1628: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1629,ASV 1629: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1630,ASV 1630: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1631,ASV 1631: KCM-B-112,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,KCM-B-112
1632,ASV 1632: Ga0077536,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,Ga0077536,Ga0077536
1633,ASV 1633: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1634,ASV 1634: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1635,ASV 1635: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1636,ASV 1636: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1637,ASV 1637: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1638,ASV 1638: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1639,ASV 1639: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1640,ASV 1640: CCD24,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,CCD24
1641,ASV 1641: CCD24,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,CCD24
1642,ASV 1642: CCD24,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,CCD24
1643,ASV 1643: CCD24,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,CCD24
1644,ASV 1644: Moraxellaceae,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae
1645,ASV 1645: Sulfurifustis,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis
1646,ASV 1646: Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
1647,ASV 1647: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1648,ASV 1648: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1649,ASV 1649: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1650,ASV 1650: Steroidobacteraceae,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacteraceae,Steroidobacteraceae
1651,ASV 1651: Coxiella,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella
1652,ASV 1652: Coxiella,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella
1653,ASV 1653: Pseudomonas,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
1654,ASV 1654: Pseudomonas_sp.,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
1655,ASV 1655: Paenibacillus,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
1656,ASV 1656: Pseudomonas,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
1657,ASV 1657: Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae,Chitinophagaceae
1658,ASV 1658: Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae,Chitinophagaceae
1659,ASV 1659: Asinibacterium,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Asinibacterium,Asinibacterium
1660,ASV 1660: Asinibacterium,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Asinibacterium,Asinibacterium
1661,ASV 1661: Pantoea,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Erwiniaceae,Pantoea,Pantoea
1662,ASV 1662: Pseudomonas,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
1663,ASV 1663: Dyella,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella
1664,ASV 1664: Pseudomonas,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
1665,ASV 1665: Rhodanobacter,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter
1666,ASV 1666: Dyella,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella
1667,ASV 1667: Dyella,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella
1668,ASV 1668: Rhodanobacteraceae,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae
1669,ASV 1669: Marinomonas,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,Marinomonas
1670,ASV 1670: Cellvibrio,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio
1671,ASV 1671: Cellvibrio,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio
