Id,q_amplicon,Phylum,Class,Order,Family,Genus,Species
4526,ASV 4526: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4527,ASV 4527: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4528,ASV 4528: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4529,ASV 4529: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4530,ASV 4530: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4531,ASV 4531: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4532,ASV 4532: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4533,ASV 4533: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4534,ASV 4534: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4535,ASV 4535: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4536,ASV 4536: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4537,ASV 4537: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4538,ASV 4538: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4539,ASV 4539: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4540,ASV 4540: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4541,ASV 4541: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4542,ASV 4542: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4543,ASV 4543: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4544,ASV 4544: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4545,ASV 4545: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4546,ASV 4546: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4547,ASV 4547: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4548,ASV 4548: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4549,ASV 4549: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4550,ASV 4550: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4551,ASV 4551: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4552,ASV 4552: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4553,ASV 4553: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4554,ASV 4554: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4555,ASV 4555: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4556,ASV 4556: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4557,ASV 4557: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4558,ASV 4558: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4559,ASV 4559: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4560,ASV 4560: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4561,ASV 4561: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4562,ASV 4562: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4563,ASV 4563: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4564,ASV 4564: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4565,ASV 4565: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4566,ASV 4566: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4567,ASV 4567: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4568,ASV 4568: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4569,ASV 4569: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4570,ASV 4570: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4571,ASV 4571: Rhodococcus_erythropolis,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
4572,ASV 4572: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4573,ASV 4573: Bacillus,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus
4574,ASV 4574: Corynebacterium,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
4575,ASV 4575: Corynebacterium,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
4576,ASV 4576: Corynebacterium,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
4577,ASV 4577: Bacillus,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus
4578,ASV 4578: Bacilli,Firmicutes,Bacilli,Bacilli,Bacilli,Bacilli,Bacilli
4579,ASV 4579: Thermoactinomycetaceae,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Thermoactinomycetaceae,Thermoactinomycetaceae
4580,ASV 4580: Bacilli,Firmicutes,Bacilli,Bacilli,Bacilli,Bacilli,Bacilli
4581,ASV 4581: Bacilli,Firmicutes,Bacilli,Bacilli,Bacilli,Bacilli,Bacilli
4582,ASV 4582: Thermoactinomyces,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Thermoactinomyces,Thermoactinomyces
4583,ASV 4583: ultured_Kroppenstedtia,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Kroppenstedtia,uncultured_Kroppenstedtia
4584,ASV 4584: Planifilum,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Planifilum,Planifilum
4585,ASV 4585: Planifilum,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Planifilum,Planifilum
4586,ASV 4586: Planifilum,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Planifilum,Planifilum
4587,ASV 4587: ultured_compost,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Planifilum,uncultured_compost
4588,ASV 4588: Cohnella,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella
4589,ASV 4589: Cohnella,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella
4590,ASV 4590: Cohnella,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella
4591,ASV 4591: Cohnella,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella
4592,ASV 4592: Cohnella,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella
4593,ASV 4593: Paenibacillaceae,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae,Paenibacillaceae
4594,ASV 4594: Thermobacillus,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Thermobacillus,Thermobacillus
4595,ASV 4595: Paenibacillus,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4596,ASV 4596: Paenibacillus_barengoltzii,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_barengoltzii
4597,ASV 4597: Staphylococcus,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus
4598,ASV 4598: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4599,ASV 4599: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4600,ASV 4600: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4601,ASV 4601: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4602,ASV 4602: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4603,ASV 4603: Lactobacillus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
4604,ASV 4604: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4605,ASV 4605: Paenibacillus,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4606,ASV 4606: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4607,ASV 4607: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4608,ASV 4608: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4609,ASV 4609: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4610,ASV 4610: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4611,ASV 4611: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4612,ASV 4612: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4613,ASV 4613: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
4614,ASV 4614: Paenibacillus_sp.,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus
