"AverageShortestPathLength","BetweennessCentrality","Class","Class_mod","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","Hub","IsSingleNode","label","mv","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","RA","Radiality","selected","SelfLoops","shared name","Species","Stress","TopologicalCoefficient"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Acetobacteraceae","Acetobacteraceae","","true","ASV1585_Acetobacteraceae","0","ASV1585_Acetobacteraceae","0.0","0","0","Acetobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1585_Acetobacteraceae","Acetobacteraceae","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Paracaedibacteraceae","Paracaedibacteraceae","","true","ASV1586_Paracaedibacteraceae","0","ASV1586_Paracaedibacteraceae","0.0","0","0","Paracaedibacterales","0","Proteobacteria",,"Infinity","false","0","ASV1586_Paracaedibacteraceae","Paracaedibacteraceae","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Alphaproteobacteria","Alphaproteobacteria","","true","ASV1587_Alphaproteobacteria","0","ASV1587_Alphaproteobacteria","0.0","0","0","Alphaproteobacteria","0","Proteobacteria",,"Infinity","false","0","ASV1587_Alphaproteobacteria","Alphaproteobacteria","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Alphaproteobacteria","Alphaproteobacteria","","true","ASV1588_Alphaproteobacteria","0","ASV1588_Alphaproteobacteria","0.0","0","0","Alphaproteobacteria","0","Proteobacteria",,"Infinity","false","0","ASV1588_Alphaproteobacteria","Alphaproteobacteria","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Alphaproteobacteria","Alphaproteobacteria","","true","ASV1589_Alphaproteobacteria","0","ASV1589_Alphaproteobacteria","0.0","0","0","Alphaproteobacteria","0","Proteobacteria",,"Infinity","false","0","ASV1589_Alphaproteobacteria","Alphaproteobacteria","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Alphaproteobacteria","Alphaproteobacteria","","true","ASV1590_Alphaproteobacteria","0","ASV1590_Alphaproteobacteria","0.0","0","0","Alphaproteobacteria","0","Proteobacteria",,"Infinity","false","0","ASV1590_Alphaproteobacteria","Alphaproteobacteria","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","KF-JG30-C25","KF-JG30-C25","","true","ASV1591_KF-JG30-C25","0","ASV1591_KF-JG30-C25","0.0","0","0","KF-JG30-C25","0","Proteobacteria",,"Infinity","false","0","ASV1591_KF-JG30-C25","KF-JG30-C25","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1592_Steroidobacter","0","ASV1592_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1592_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacteraceae","","true","ASV1593_Steroidobacteraceae","0","ASV1593_Steroidobacteraceae","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1593_Steroidobacteraceae","Steroidobacteraceae","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacteraceae","","true","ASV1594_Steroidobacteraceae","0","ASV1594_Steroidobacteraceae","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1594_Steroidobacteraceae","Steroidobacteraceae","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1595_Steroidobacter","0","ASV1595_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1595_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1596_Steroidobacter","0","ASV1596_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1596_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1597_Steroidobacter","0","ASV1597_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1597_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1598_Steroidobacter","0","ASV1598_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1598_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1599_Steroidobacter","0","ASV1599_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1599_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacter","","true","ASV1600_Steroidobacter","0","ASV1600_Steroidobacter","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1600_Steroidobacter","Steroidobacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Steroidobacteraceae","Steroidobacteraceae","","true","ASV1601_Steroidobacteraceae","0","ASV1601_Steroidobacteraceae","0.0","0","0","Steroidobacterales","0","Proteobacteria",,"Infinity","false","0","ASV1601_Steroidobacteraceae","Steroidobacteraceae","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","WD260","WD260","","true","ASV1602_WD260","0","ASV1602_WD260","0.0","0","0","WD260","0","Proteobacteria",,"Infinity","false","0","ASV1602_WD260","WD260","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1603_Acidibacter","0","ASV1603_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1603_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria","Gammaproteobacteria","","true","ASV1604_Gammaproteobacteria","0","ASV1604_Gammaproteobacteria","0.0","0","0","Gammaproteobacteria","0","Proteobacteria",,"Infinity","false","0","ASV1604_Gammaproteobacteria","Gammaproteobacteria","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","JG36-TzT-191","JG36-TzT-191","","true","ASV1605_JG36-TzT-191","0","ASV1605_JG36-TzT-191","0.0","0","0","JG36-TzT-191","0","Proteobacteria",,"Infinity","false","0","ASV1605_JG36-TzT-191","JG36-TzT-191","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","JG36-TzT-191","JG36-TzT-191","","true","ASV1606_JG36-TzT-191","0","ASV1606_JG36-TzT-191","0.0","0","0","JG36-TzT-191","0","Proteobacteria",,"Infinity","false","0","ASV1606_JG36-TzT-191","JG36-TzT-191","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1607_Acidibacter","0","ASV1607_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1607_Acidibacter","Acidibacter","0","0.0"
